Alpha,UCB,epsilon-greedy,DisjointLinUCB,HybridLinUCB
0,0.0021,0.0021,0.0473,0.0416
0.05,0.0247,0.0112,0.0887,0.0844
0.1,0.0247,0.0237,0.0666,0.0658
0.15000000000000002,0.0245,0.0236,0.0556,0.057
0.2,0.0231,0.0178,0.0453,0.046
0.25,0.0221,0.02,0.0468,0.0388
0.30000000000000004,0.0196,0.0165,0.0336,0.0337
0.35000000000000003,0.0196,0.0169,0.0351,0.0328
0.4,0.02,0.0183,0.0315,0.0279
0.45,0.0174,0.0187,0.0257,0.0263
0.5,0.0166,0.0165,0.0268,0.0296
0.55,0.0151,0.0177,0.0265,0.0275
0.6000000000000001,0.013,0.016,0.0231,0.0203
0.65,0.0159,0.0143,0.0253,0.0235
0.7000000000000001,0.0155,0.0176,0.0238,0.0195
0.75,0.0135,0.0128,0.0207,0.0207
0.8,0.0153,0.0138,0.0201,0.018
0.8500000000000001,0.0141,0.0127,0.0216,0.0192
0.9,0.0151,0.0119,0.0222,0.0179
0.9500000000000001,0.013,0.0105,0.0203,0.0176
1,0.0145,0.0099,0.0188,0.0171
